service_id,date,exception_type
C22452ASZCsZ-091,20201224,1
C22453AVVCsZ-091,20201115,1
C22453AVVCsZ-091,20201122,1
C22453AVVCsZ-091,20201129,1
C22453AVVCsZ-091,20201206,1
C22453AVVCsZ-091,20201213,1
C22453AVVCsZ-091,20201220,1
C22453AVVCsZ-091,20201225,1
C22453AVVCsZ-091,20201226,1
C22453AVVCsZ-091,20201227,1
C22455RA2HPSzN-021,20201116,1
C22455RA2HPSzN-021,20201117,1
C22455RA2HPSzN-021,20201118,1
C22455RA2HPSzN-021,20201119,1
C22455RA2HPSzN-021,20201120,1
C22455RA2HPSzN-021,20201123,1
C22455RA2HPSzN-021,20201124,1
C22455RA2HPSzN-021,20201125,1
C22455RA2HPSzN-021,20201126,1
C22455RA2HPSzN-021,20201127,1
C22455RA2HPSzN-021,20201130,1
C22455RA2HPSzN-021,20201201,1
C22455RA2HPSzN-021,20201202,1
C22455RA2HPSzN-021,20201203,1
C22455RA2HPSzN-021,20201204,1
C22455RA2HPSzN-021,20201207,1
C22455RA2HPSzN-021,20201208,1
C22455RA2HPSzN-021,20201209,1
C22455RA2HPSzN-021,20201210,1
C22455RA2HPSzN-021,20201211,1
C22455RA2HPSzN-021,20201214,1
C22455RA2HPSzN-021,20201215,1
C22455RA2HPSzN-021,20201216,1
C22455RA2HPSzN-021,20201217,1
C22455RA2HPSzN-021,20201218,1
C22456AHCCsZ-081,20201110,1
C22456AHCCsZ-081,20201111,1
C22456AHCCsZ-081,20201112,1
C22456AHCCsZ-081,20201116,1
C22456AHCCsZ-081,20201117,1
C22456AHCCsZ-081,20201118,1
C22456AHCCsZ-081,20201119,1
C22456AHCCsZ-081,20201123,1
C22456AHCCsZ-081,20201124,1
C22456AHCCsZ-081,20201125,1
C22456AHCCsZ-081,20201126,1
C22456AHCCsZ-081,20201130,1
C22456AHCCsZ-081,20201201,1
C22456AHCCsZ-081,20201202,1
C22456AHCCsZ-081,20201203,1
C22456AHCCsZ-081,20201207,1
C22456AHCCsZ-081,20201208,1
